reporter_area_label,year,value,value_millions
Myanmar,2024,1063.0,1.063
Belarus,2000,2030.0,2.03
Belarus,2001,1852.0,1.852
Belarus,2002,1907.0,1.907
Belarus,2003,1729.0,1.729
Belarus,2004,1816.0,1.816
Belarus,2005,4738.0,4.738
Belarus,2006,5276.0,5.276
Belarus,2007,5283.0,5.283
Belarus,2008,5262.0,5.262
Belarus,2009,4872.0,4.872
Belarus,2010,5674.0,5.674
Belarus,2011,5877.0,5.877
Belarus,2012,6130.0,6.13
Belarus,2013,6242.0,6.242
Belarus,2014,5375.0,5.375
Belarus,2015,4386.0,4.386
Belarus,2016,10935.0,10.935
Belarus,2017,11060.0,11.06
Belarus,2018,11502.0,11.502
Belarus,2019,11832.0,11.832
Belarus,2020,3598.0,3.598
Belarus,2021,3361.0,3.361
Belarus,2022,4920.0,4.92
Belarus,2023,5678.0,5.678
Belarus,2024,6645.0,6.645
Cameroon,2006,451.0,0.451
Cameroon,2007,477.0,0.477
Cameroon,2008,487.0,0.487
Cameroon,2009,498.0,0.498
Cameroon,2010,573.0,0.573
Cameroon,2011,604.0,0.604
Cameroon,2012,817.0,0.817
Cameroon,2013,783.0,0.783
Cameroon,2014,822.0,0.822
Cameroon,2015,897.0,0.897
Cameroon,2016,994.0,0.994
Cameroon,2017,1081.0,1.081
Cameroon,2018,997.0,0.997
Cameroon,2019,1021.0,1.021
Cameroon,2020,616.0,0.616
Cameroon,2021,963.0,0.963
Cameroon,2022,539.0,0.539
Canada,1995,41657.0,41.657
Canada,1996,43256.0,43.256
Canada,1997,45076.0,45.076
Canada,1998,48064.0,48.064
Canada,1999,49055.0,49.055
Canada,2000,48638.0,48.638
Canada,2001,47147.0,47.147
Canada,2002,44896.0,44.896
Canada,2003,38903.0,38.903
Canada,2004,38845.0,38.845
Canada,2005,36160.0,36.16
Canada,2006,33390.0,33.39
Canada,2007,30373.0,30.373
Canada,2008,27370.0,27.37
Canada,2009,24696.0,24.696
Canada,2010,25621.0,25.621
Canada,2011,25066.0,25.066
Canada,2012,25318.0,25.318
Canada,2013,25167.0,25.167
Canada,2014,25558.0,25.558
Canada,2015,27555.0,27.555
Canada,2016,30142.0,30.142
Canada,2017,31081.0,31.081
Canada,2018,31274.0,31.274
Canada,2019,32430.0,32.43
Canada,2020,5068.0,5.068
Canada,2021,4282.0,4.282
Canada,2022,17924.0,17.924
Canada,2023,27209.0,27.209
Canada,2024,29818.0,29.818
Cayman Islands,1995,1044.0,1.044
Cayman Islands,1996,1173.0,1.173
Cayman Islands,1997,1248.0,1.248
Cayman Islands,1998,1275.0,1.275
Cayman Islands,1999,1431.0,1.431
Cayman Islands,2000,1385.0,1.385
Cayman Islands,2001,1549.0,1.549
Cayman Islands,2002,1878.0,1.878
Cayman Islands,2003,2113.0,2.113
